company,specific_bean_origin,review_date,cocoa_percent,company_location,rating,bean_type,bean_origin_country
Bar Au Chocolat,Sambirano,2012,70%,U.S.A.,3.75,Trinitario,Madagascar
Bellflower,"Kakao Kamili, Kilombero Valley",2016,70%,U.S.A.,3.5,"Criollo, Trinitario",Tanzania
Belyzium,"Belize south, low fermentation",2016,83%,Germany,2.75,Trinitario,Belize
Belyzium,Belize south,2016,78%,Germany,3,Trinitario,Belize
Belyzium,Belize south,2016,83%,Germany,3.5,Trinitario,Belize
Benoit Nihant,Baracoa,2013,74%,Belgium,3.5,Trinitario,Cuba
Benoit Nihant,Chuao,2013,74%,Belgium,3.5,Criollo,Venezuela
Benoit Nihant,Cuyagua Village,2013,74%,Belgium,3.5,Criollo,Venezuela
Benoit Nihant,Rio Peripa H.,2013,73%,Belgium,4,Trinitario,Ecuador
Benoit Nihant,"Bali, Sukrama Bros. Farm, Melaya, 62hr C",2011,72%,Belgium,4,Trinitario,Indonesia
Benoit Nihant,"Somia Plantation, Sambirano, 70hr C",2011,72%,Belgium,3.75,Trinitario,Madagascar
Beschle (Felchlin),Madagascar,2011,64%,Switzerland,3,Trinitario,Madagascar
Beschle (Felchlin),Maracaibo,2011,88%,Switzerland,3,Criollo,Venezuela
Beschle (Felchlin),"Carenero S., Barlovento, Grand Cru",2010,70%,Switzerland,3.25,Trinitario,Venezuela
Beschle (Felchlin),"Porcelana, Premier Cru, Quizas No. 1",2010,74%,Switzerland,3.25,Criollo (Porcelana),Venezuela
Bisou,Belize,2015,86%,U.S.A.,3.25,Trinitario,Belize
Bittersweet Origins,Ghana,2012,72%,U.S.A.,3.5,Forastero,Ghana
Bittersweet Origins,2009 Hapa Nibby,2010,70%,U.S.A.,3.75,Blend,"Dominican Rep., Bali"
Bittersweet Origins,"Sambirano, 2009",2010,70%,U.S.A.,3,Trinitario,Madagascar
Bittersweet Origins,"Ocumare, prototype",2010,78%,U.S.A.,3,Criollo,Venezuela
Bittersweet Origins,Sambirano,2009,75%,U.S.A.,3.25,Trinitario,Madagascar
Bittersweet Origins,Sambirano,2009,65%,U.S.A.,3.5,Trinitario,Madagascar
Bittersweet Origins,Sambirano,2008,71%,U.S.A.,3,Trinitario,Madagascar
Bittersweet Origins,Ankasa,2008,70%,U.S.A.,3,Forastero,Ghana
Black Mountain,Carenero Superior,2008,70%,U.S.A.,2.75,Trinitario,Venezuela
Black River (A. Morin),Blue Mountain Region,2014,70%,U.K.,2.75,Trinitario,Jamaica
Blanxart,"Congo, Grand Cru",2013,82%,Spain,3.5,Forastero,Congo
Blue Bandana,"Akesson's E., Sambirano V.",2016,82%,U.S.A.,3.5,Trinitario,Madagascar
Blue Bandana,Madagascar,2012,70%,U.S.A.,3.75,Trinitario,Madagascar
Bonnat,Cuba,2011,75%,France,3.5,Trinitario,Cuba
Bonnat,Piura Blanco,2011,75%,France,3.5,Forastero (Nacional),Peru
Bonnat,"Madagascar, 100% criollo",2011,75%,France,4,Criollo,Madagascar
Bonnat,Jamaique,2011,75%,France,3.25,Trinitario,Jamaica
Bonnat,"Porcelana, Apotequil",2009,75%,France,2.75,Criollo,Peru
Bonnat,"Porcelana, Tabasco, Marfil de Blanco",2009,75%,France,3,Criollo,Mexico
Bonnat,"Xoconusco, cacao Real",2009,75%,France,3,Criollo,Mexico
Bonnat,"Porcelana, Venezuela",2008,75%,France,4,Criollo (Porcelana),Venezuela
Bonnat,Equateur,2007,75%,France,2.5,Forastero (Arriba),Ecuador
Bonnat,Trinite,2006,75%,France,3.75,Trinitario,Carribean
Bonnat,"Maracaibo, El Rosario",2006,75%,France,4,Criollo,Venezuela
Bonnat,Madagascar,2006,75%,France,4,Trinitario,Madagascar
Bonnat,Chuao,2006,75%,France,4,Trinitario,Venezuela
Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",2009,77%,Ecuador,3.25,Forastero (Arriba),Ecuador
Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",2009,100%,Ecuador,1.5,Forastero (Arriba),Ecuador
Bowler Man,Maya Mountain,2014,70%,U.S.A.,2.75,Trinitario,Belize
Brasstown aka It's Chocolate,"Guasare, Zulia Prov.",2016,70%,U.S.A.,3.5,Criollo,Venezuela
Brasstown aka It's Chocolate,Maya Mountain,2014,70%,U.S.A.,3.75,Trinitario,Belize
Brasstown aka It's Chocolate,Chuao,2014,70%,U.S.A.,4,Trinitario,Venezuela
Brasstown aka It's Chocolate,Cooproagro,2013,72%,U.S.A.,3,Trinitario,Dominican Republic
Brasstown aka It's Chocolate,Ghana,2013,75%,U.S.A.,3.5,Forastero,Ghana
Brasstown aka It's Chocolate,"Chuao, Mantuano blend",2013,85%,U.S.A.,3.5,Trinitario,Venezuela
Brazen,Maya Mountain,2015,80%,U.S.A.,3.25,Trinitario,Belize
Breeze Mill,Jamaica,2013,70%,U.S.A.,3,Trinitario,Jamaica
Bright,Somia Plantation,2014,72%,Australia,3,Trinitario,Madagascar
Bright,Gran Couva,2014,68%,Australia,2.75,Trinitario,Trinidad
Burnt Fork Bend,Trinidad,2014,72%,U.S.A.,3.25,Trinitario,Trinidad
Burnt Fork Bend,Belize,2014,72%,U.S.A.,3.25,Trinitario,Belize
Cacao Atlanta,Tumbes,2014,75%,U.S.A.,2.5,Criollo,Peru
Cacao Barry,Grand 'Anse,2016,65%,France,3.5,"Trinitario, Criollo",Haiti
Cacao de Origen,Chuao,2015,77%,Venezuela,3.5,Trinitario,Venezuela
Cacao de Origen,Rio Caribe,2015,75%,Venezuela,3.25,Trinitario,Venezuela
Cacao de Origen,"Chuao, Aragua region",2014,75%,Venezuela,3.5,Trinitario,Venezuela
Cacao de Origen,"Chuao, Aragua region",2014,70%,Venezuela,3.75,Trinitario,Venezuela
Cacao Market,"Jutiapa, lot 050916D",2016,70%,U.S.A.,3.5,Trinitario,Honduras
Cacao Prieto,"Criollo, Dominican Republic",2012,72%,U.S.A.,3.75,Criollo,Dominican Republic
Cacao Sampaka,"Mahali, Kasai",2016,70%,Spain,3.5,Criollo,Congo
Cacao Sampaka,Madagascar,2010,71%,Spain,3.5,Trinitario,Madagascar
Cacao Sampaka,Grenada,2010,71%,Spain,3.25,Trinitario,Grenada
Cacao Sampaka,"Porcelana, Tabasco, La Joya",2009,70%,Spain,4,Criollo,Mexico
Cacao Sampaka,"Xoconusco, Chiapas",2009,70%,Spain,4,Criollo,Mexico
Cacao Store,Madagascar,2015,70%,Japan,3,Trinitario,Madagascar
Cacao Store,Vietnam,2015,70%,Japan,3.5,Trinitario,Vietnam
Cacaoyere (Ecuatoriana),Amazonia,2008,63%,Ecuador,3.5,Forastero (Arriba),Ecuador
Cacaoyere (Ecuatoriana),Esmeraldas,2008,71%,Ecuador,3.5,Forastero (Arriba),Ecuador
Cacaoyere (Ecuatoriana),Bolivar,2008,82%,Ecuador,2.5,Forastero (Arriba),Ecuador
Cacaoyere (Ecuatoriana),Pichincha,2008,91%,Ecuador,1.5,Forastero (Arriba),Ecuador
Callebaut,Grenade,2008,60%,Belgium,2.75,Trinitario,Grenada
C-Amaro,Sao Tome,2011,78%,Italy,2.25,Forastero,Sao Tome
C-Amaro,Trinidad,2011,70%,Italy,2.5,Trinitario,Trinidad
Cao,Porcelana,2016,75%,U.S.A.,2.5,Criollo,Venezuela
Cao,"Porcelana, Batch 5163",2016,70%,U.S.A.,3,Criollo,Venezuela
Cao,Brazil,2016,70%,U.S.A.,3.25,Trinitario,Brazil
Caoni (Tulicorp),Esmeraldas,2008,77%,Ecuador,2,Forastero (Arriba),Ecuador
Caoni (Tulicorp),Manabi,2008,77%,Ecuador,2.5,Forastero (Arriba),Ecuador
Caoni (Tulicorp),Los Rios,2008,77%,Ecuador,2.75,Forastero (Arriba),Ecuador
Caoni (Tulicorp),Manabi,2008,55%,Ecuador,3,Forastero (Arriba),Ecuador
Caoni (Tulicorp),Los Rios,2008,55%,Ecuador,3.25,Forastero (Arriba),Ecuador
Caoni (Tulicorp),Esmeraldas,2008,55%,Ecuador,3.5,Forastero (Arriba),Ecuador
Captain Pembleton,"Saidor Estate, Madang P.",2014,70%,New Zealand,3.5,Trinitario,Papua New Guinea
Caribeans,Costa Rica,2012,72%,Costa Rica,3,Forastero,Costa Rica
Caribeans,Costa Rica,2012,80%,Costa Rica,2.75,Forastero,Costa Rica
Carlotta Chocolat,Arauca,2016,65%,Colombia,3,Trinitario,Colombia
Carlotta Chocolat,Tumaco,2016,65%,Colombia,3.25,Trinitario,Colombia
Carlotta Chocolat,Cordoba,2016,65%,Colombia,3.25,Trinitario,Colombia
Carlotta Chocolat,Huila,2016,65%,Colombia,3.5,Trinitario,Colombia
Carlotta Chocolat,Cesar,2016,65%,Colombia,3.5,CCN51,Colombia
Castronovo,"Maya Mtn, Batch 454, Heirloom",2016,72%,U.S.A.,4,Trinitario,Belize
Castronovo,"the lost city, gracias a dias, batch 362",2015,72%,U.S.A.,3.5,Trinitario,Honduras
Castronovo,"Duarte, Batch 360",2015,70%,U.S.A.,3.75,"Criollo, Trinitario",Domincan Republic
Castronovo,Sierra Nevada,2014,72%,U.S.A.,3.5,"Criollo, Trinitario",Colombia
Castronovo,Arauca,2014,76%,U.S.A.,3.5,"Criollo, Trinitario",Colombia
Castronovo,Elvesia P.,2014,70%,U.S.A.,2.75,Trinitario,Dominican Republic
Castronovo,Bolivia,2013,70%,U.S.A.,3,Trinitario,Bolivia
Castronovo,Conacado,2013,73%,U.S.A.,3.5,Trinitario,Dominican Republic
Castronovo,San Martin,2013,70%,U.S.A.,2.5,Criollo,Peru
Castronovo,Nicaragua,2013,72%,U.S.A.,3.25,Trinitario,Nicaragua
Castronovo,Tumbes,2013,70%,U.S.A.,2.75,Criollo,Peru
Chaleur B,Uganda,2014,70%,Canada,2.75,Forastero,Uganda
Chchukululu (Tulicorp),Arriba,2010,55%,Ecuador,2.75,Forastero (Arriba),Ecuador
Chchukululu (Tulicorp),Los Rios,2008,75%,Ecuador,3,Forastero (Arriba),Ecuador
Choco Del Sol,Maya Mountain w/ nibs,2014,75%,Germany,3,Trinitario,Belize
Choco Del Sol,Maya Mountain,2014,82%,Germany,3.25,Trinitario,Belize
Choco Dong,"Mekong Delta, early 2014 Harvest",2015,70%,South Korea,2.75,Trinitario,Vietnam
Choco Dong,"Tawau, Oct. 2015 Harvest",2015,70%,South Korea,3.5,Trinitario,Malaysia
Chocolarder,Peru,2015,65%,U.K.,2.5,Criollo,Peru
Chocolarder,Peru + nibs,2015,65%,U.K.,2.75,Criollo,Peru
Chocola'te,Madagascar,2011,70%,U.S.A.,3.75,Trinitario,Madagascar
Chocolate Con Amor,Ocumare,2016,80%,U.S.A.,3,Criollo (Ocumare),Venezuela
Chocolate Makers,Tres Hombres,2015,75%,Amsterdam,3.25,Trinitario,Dominican Republic
Chocolate Makers,"Congo, Gorilla bar",2015,68%,Amsterdam,3.5,Forastero,Congo
Chocolate Makers,"Peru, Awagum bar",2015,80%,Amsterdam,3.75,Criollo,Peru
"Chocolate Tree, The",Maranon,2015,69%,Scotland,3.75,Forastero (Nacional),Peru
"Chocolate Tree, The",Carenero Superior,2015,80%,Scotland,3.75,Trinitario,Venezuela
